Timestamp,CPU Usage(%),Memory Usage(%),IO(Disk) Read(MB),IO(Disk) Write(MB),Disk Usage(%),OS User Time(s),OS System Time(s),OS Idle Time(s)
2025-03-17 14:20:37,22.8,83.2,193382.48828125,396295.7734375,51.2,25373.74,13097.66,218197.55
2025-03-17 14:20:43,24.6,82.5,193425.4609375,396431.26953125,51.2,25382.79,13101.58,218231.91
2025-03-17 14:20:49,39.7,83.6,193504.10546875,396437.38671875,51.2,25389.78,13105.32,218268.54
2025-03-17 14:20:55,12.8,83.4,193556.9921875,396604.9296875,51.2,25398.43,13109.22,218303.28
2025-03-17 14:21:01,35.0,83.7,193591.3203125,396718.75,51.3,25407.26,13112.55,218338.64
2025-03-17 14:21:07,11.6,82.9,193600.65234375,396723.671875,51.2,25414.87,13114.1,218377.22
2025-03-17 14:21:13,23.8,82.8,193638.01953125,396842.76953125,51.2,25423.28,13116.98,218413.58
2025-03-17 14:21:19,14.1,83.3,193831.3671875,396847.16796875,51.2,25432.21,13120.18,218448.76
2025-03-17 14:21:25,20.8,83.0,193969.58984375,396970.35546875,51.2,25438.51,13124.25,218485.84
2025-03-17 14:21:31,16.5,83.4,193977.7890625,396972.72265625,51.1,25440.29,13126.21,218529.91
2025-03-17 14:21:37,3.5,80.6,194029.86328125,397108.859375,51.2,25442.99,13128.29,218572.64
2025-03-17 14:21:43,16.1,83.3,194058.67578125,397220.4609375,51.3,25445.05,13130.13,218616.65
2025-03-17 14:21:49,6.9,81.4,194092.63671875,397227.12890625,51.2,25447.14,13131.32,218661.14
2025-03-17 14:21:55,8.1,80.3,194127.2265625,397344.109375,51.2,25450.02,13133.5,218703.92
2025-03-17 14:22:01,2.7,81.1,194131.96875,397348.39453125,51.2,25450.96,13134.24,218750.17
2025-03-17 14:22:07,6.5,81.3,194182.1328125,397467.0546875,51.2,25454.03,13136.73,218792.33
2025-03-17 14:22:13,20.6,84.3,194354.14453125,397538.4765625,51.2,25459.64,13140.34,218830.41
2025-03-17 14:22:19,5.4,83.1,194616.1875,397739.89453125,51.2,25464.1,13144.79,218868.6
2025-03-17 14:22:25,22.1,83.5,194635.1484375,397773.56640625,51.1,25466.15,13146.86,218912.24
2025-03-17 14:22:31,2.6,81.8,194654.05078125,397859.8515625,51.2,25468.69,13148.13,218956.29
2025-03-17 14:22:37,14.0,83.3,194687.1015625,397971.3828125,51.2,25470.84,13149.92,219000.17
2025-03-17 14:22:43,4.7,81.6,194691.22265625,397979.28515625,51.2,25472.54,13150.84,219045.51
